"value_date","value_rows"
"Sun Dec  1 12:51:24 2024",0
"Mon Dec  2 02:05:30 2024",0
"Mon Dec  2 12:55:58 2024",0
"Tue Dec  3 02:03:50 2024",0
"Tue Dec  3 12:54:33 2024",0
"Wed Dec  4 02:08:36 2024",2
"Wed Dec  4 12:55:13 2024",0
"Thu Dec  5 02:04:25 2024",0
"Thu Dec  5 12:54:59 2024",0
"Fri Dec  6 02:03:09 2024",0
"Fri Dec  6 12:54:09 2024",0
"Sat Dec  7 02:01:39 2024",0
"Sat Dec  7 12:51:08 2024",0
"Sun Dec  8 02:15:56 2024",0
"Sun Dec  8 12:51:10 2024",0
"Mon Dec  9 02:07:22 2024",0
"Mon Dec  9 12:56:33 2024",0
"Tue Dec 10 02:05:44 2024",0
"Tue Dec 10 12:56:07 2024",0
"Wed Dec 11 02:03:45 2024",0
"Wed Dec 11 12:55:22 2024",0
"Thu Dec 12 02:03:20 2024",0
"Thu Dec 12 12:55:33 2024",0
"Fri Dec 13 02:05:24 2024",0
"Fri Dec 13 12:53:58 2024",0
"Sat Dec 14 02:00:01 2024",0
"Sat Dec 14 12:50:33 2024",0
"Sun Dec 15 02:15:42 2024",0
"Sun Dec 15 12:51:19 2024",0
"Mon Dec 16 02:07:31 2024",0
"Mon Dec 16 12:56:02 2024",0
"Tue Dec 17 02:03:16 2024",0
"Tue Dec 17 12:55:23 2024",0
"Wed Dec 18 01:59:47 2024",0
"Wed Dec 18 12:53:24 2024",0
"Thu Dec 19 02:00:12 2024",0
"Thu Dec 19 12:53:25 2024",0
"Fri Dec 20 01:54:19 2024",2
"Fri Dec 20 12:49:54 2024",0
"Sat Dec 21 01:52:02 2024",0
"Sat Dec 21 12:46:46 2024",0
"Sun Dec 22 02:01:19 2024",0
"Sun Dec 22 12:46:26 2024",0
"Mon Dec 23 01:55:48 2024",0
"Mon Dec 23 12:50:59 2024",0
"Tue Dec 24 01:53:35 2024",0
"Tue Dec 24 12:49:33 2024",0
"Wed Dec 25 01:52:30 2024",0
"Wed Dec 25 12:48:55 2024",0
"Thu Dec 26 01:52:43 2024",0
"Thu Dec 26 12:49:53 2024",0
"Fri Dec 27 01:53:11 2024",0
"Fri Dec 27 12:49:27 2024",0
"Sat Dec 28 01:51:17 2024",0
"Sat Dec 28 12:47:05 2024",0
"Sun Dec 29 02:02:05 2024",0
"Sun Dec 29 12:47:04 2024",0
"Mon Dec 30 01:56:38 2024",0
"Mon Dec 30 12:49:55 2024",0
"Tue Dec 31 01:53:31 2024",0
"Tue Dec 31 12:49:00 2024",0
"Wed Jan  1 02:01:30 2025",0
"Wed Jan  1 12:48:56 2025",0
"Thu Jan  2 01:52:41 2025",0
"Thu Jan  2 12:50:18 2025",0
"Fri Jan  3 01:53:50 2025",0
"Fri Jan  3 12:50:08 2025",0
"Sat Jan  4 01:51:34 2025",0
"Sat Jan  4 12:48:11 2025",0
"Sun Jan  5 02:01:57 2025",0
"Sun Jan  5 12:47:25 2025",0
"Mon Jan  6 01:59:21 2025",0
"Mon Jan  6 12:52:11 2025",0
"Tue Jan  7 01:55:11 2025",0
"Tue Jan  7 12:52:40 2025",0
"Wed Jan  8 01:55:25 2025",0
"Wed Jan  8 12:51:08 2025",0
"Thu Jan  9 02:25:43 2025",0
"Thu Jan  9 12:52:04 2025",2
"Fri Jan 10 01:56:59 2025",0
"Fri Jan 10 12:51:28 2025",0
"Sat Jan 11 01:55:30 2025",0
"Sat Jan 11 12:47:39 2025",0
"Sun Jan 12 02:03:57 2025",0
"Sun Jan 12 12:48:15 2025",0
"Mon Jan 13 01:59:59 2025",0
"Mon Jan 13 12:52:59 2025",0
"Tue Jan 14 01:49:39 2025",0
"Tue Jan 14 12:49:06 2025",0
"Wed Jan 15 01:51:11 2025",0
"Wed Jan 15 12:49:30 2025",0
"Thu Jan 16 01:50:33 2025",1
"Thu Jan 16 12:49:46 2025",0
"Fri Jan 17 01:51:28 2025",0
"Fri Jan 17 12:48:28 2025",0
"Sat Jan 18 01:47:24 2025",0
"Sat Jan 18 12:46:06 2025",0
"Sun Jan 19 01:58:37 2025",0
"Sun Jan 19 12:45:12 2025",0
"Mon Jan 20 01:54:12 2025",0
"Mon Jan 20 12:50:13 2025",0
"Tue Jan 21 01:50:36 2025",0
"Tue Jan 21 12:50:11 2025",0
"Wed Jan 22 01:54:47 2025",0
"Wed Jan 22 12:50:07 2025",0
"Thu Jan 23 01:51:17 2025",0
"Thu Jan 23 12:50:06 2025",0
"Fri Jan 24 01:51:42 2025",0
"Fri Jan 24 12:48:52 2025",0
"Sat Jan 25 01:46:36 2025",1
"Sat Jan 25 12:44:53 2025",0
"Sun Jan 26 01:53:59 2025",0
"Sun Jan 26 12:45:05 2025",0
"Mon Jan 27 01:53:24 2025",0
"Mon Jan 27 12:49:59 2025",0
"Tue Jan 28 01:50:52 2025",0
"Tue Jan 28 12:49:19 2025",0
"Tue Jan 28 18:45:30 2025",0
"Tue Jan 28 19:05:15 2025",0
"Wed Jan 29 01:50:42 2025",0
"Wed Jan 29 12:48:29 2025",0
"Wed Jan 29 12:57:26 2025",0
"Thu Jan 30 01:50:56 2025",0
"Thu Jan 30 12:49:14 2025",0
"Fri Jan 31 01:51:45 2025",0
"Fri Jan 31 12:49:33 2025",0
"Sat Feb  1 01:55:55 2025",0
"Sat Feb  1 12:45:00 2025",0
"Sun Feb  2 01:55:04 2025",0
"Sun Feb  2 12:44:49 2025",0
"Mon Feb  3 01:52:55 2025",0
"Mon Feb  3 12:49:44 2025",0
"Tue Feb  4 01:51:27 2025",0
"Tue Feb  4 12:50:15 2025",0
"Wed Feb  5 01:52:45 2025",0
"Wed Feb  5 12:51:23 2025",0
"Thu Feb  6 01:53:21 2025",0
"Thu Feb  6 12:51:37 2025",0
"Fri Feb  7 01:53:37 2025",0
"Fri Feb  7 12:49:15 2025",0
"Sat Feb  8 01:49:36 2025",2
"Sat Feb  8 12:46:05 2025",0
"Sun Feb  9 01:57:08 2025",0
"Sun Feb  9 12:45:35 2025",0
"Mon Feb 10 01:54:19 2025",0
"Mon Feb 10 12:52:31 2025",0
"Tue Feb 11 01:52:39 2025",0
"Tue Feb 11 12:50:57 2025",0
"Wed Feb 12 01:52:51 2025",0
"Wed Feb 12 12:50:33 2025",0
"Thu Feb 13 01:53:59 2025",0
"Thu Feb 13 12:51:11 2025",0
"Fri Feb 14 01:53:58 2025",0
"Fri Feb 14 12:49:39 2025",0
"Sat Feb 15 01:51:30 2025",0
"Sat Feb 15 12:46:34 2025",0
"Sun Feb 16 02:00:44 2025",0
"Sun Feb 16 12:49:27 2025",0
"Mon Feb 17 01:57:12 2025",0
"Mon Feb 17 12:52:13 2025",0
"Tue Feb 18 01:53:02 2025",0
"Tue Feb 18 12:50:14 2025",0
"Wed Feb 19 01:54:29 2025",0
"Wed Feb 19 12:49:29 2025",0
"Thu Feb 20 01:54:45 2025",0
"Thu Feb 20 12:51:28 2025",0
"Fri Feb 21 01:54:29 2025",0
"Fri Feb 21 12:50:33 2025",1
"Sat Feb 22 01:51:07 2025",0
"Sat Feb 22 12:46:19 2025",0
"Sun Feb 23 02:01:44 2025",0
"Sun Feb 23 12:47:22 2025",0
"Mon Feb 24 01:57:28 2025",0
"Mon Feb 24 12:52:12 2025",0
"Tue Feb 25 01:56:34 2025",0
"Tue Feb 25 12:52:09 2025",0
"Wed Feb 26 01:56:01 2025",0
"Wed Feb 26 12:53:33 2025",0
"Thu Feb 27 01:57:56 2025",0
"Thu Feb 27 12:52:23 2025",0
"Fri Feb 28 01:56:33 2025",0
"Fri Feb 28 12:51:08 2025",0
"Sat Mar  1 02:04:08 2025",0
"Sat Mar  1 12:47:35 2025",0
"Sun Mar  2 02:01:55 2025",0
"Sun Mar  2 12:47:05 2025",0
"Mon Mar  3 02:00:00 2025",0
"Mon Mar  3 12:52:35 2025",0
"Tue Mar  4 02:00:18 2025",0
"Tue Mar  4 12:53:46 2025",0
"Wed Mar  5 01:58:51 2025",0
"Wed Mar  5 12:52:49 2025",0
"Thu Mar  6 01:58:55 2025",0
"Thu Mar  6 12:53:47 2025",0
"Fri Mar  7 01:59:57 2025",0
"Fri Mar  7 12:51:44 2025",0
"Sat Mar  8 01:35:22 2025",0
"Sat Mar  8 12:40:19 2025",0
"Sun Mar  9 01:42:55 2025",0
"Sun Mar  9 12:38:33 2025",0
"Mon Mar 10 01:41:27 2025",0
"Mon Mar 10 12:53:40 2025",0
"Tue Mar 11 01:59:37 2025",0
"Tue Mar 11 12:54:09 2025",0
"Wed Mar 12 01:58:28 2025",0
"Wed Mar 12 12:54:58 2025",0
"Thu Mar 13 02:00:01 2025",0
"Thu Mar 13 12:53:43 2025",0
"Fri Mar 14 01:58:05 2025",0
"Fri Mar 14 12:52:15 2025",0
"Sat Mar 15 01:56:57 2025",0
"Sat Mar 15 12:49:38 2025",0
"Sun Mar 16 02:05:52 2025",0
"Sun Mar 16 12:49:05 2025",0
"Mon Mar 17 02:03:03 2025",0
"Mon Mar 17 12:54:40 2025",0
"Tue Mar 18 02:02:02 2025",0
"Tue Mar 18 12:54:29 2025",0
"Wed Mar 19 02:01:02 2025",0
"Wed Mar 19 12:57:00 2025",0
"Thu Mar 20 01:59:41 2025",0
"Thu Mar 20 12:52:51 2025",0
"Fri Mar 21 02:03:03 2025",0
"Fri Mar 21 12:52:37 2025",0
"Sat Mar 22 01:58:39 2025",0
"Sat Mar 22 12:49:39 2025",0
"Sun Mar 23 02:07:29 2025",0
"Sun Mar 23 12:49:22 2025",0
"Mon Mar 24 02:04:26 2025",0
"Mon Mar 24 12:55:14 2025",0
"Tue Mar 25 02:02:05 2025",0
"Tue Mar 25 12:54:23 2025",0
"Wed Mar 26 02:01:30 2025",0
"Wed Mar 26 12:54:47 2025",0
"Thu Mar 27 02:02:30 2025",0
"Thu Mar 27 12:56:16 2025",0
"Fri Mar 28 02:01:41 2025",0
"Fri Mar 28 12:53:20 2025",0
"Sat Mar 29 02:00:17 2025",0
"Sat Mar 29 12:49:56 2025",0
"Sun Mar 30 02:13:42 2025",0
"Sun Mar 30 12:50:52 2025",0
"Mon Mar 31 02:08:05 2025",0
"Mon Mar 31 12:55:35 2025",0
"Tue Apr  1 02:20:07 2025",0
"Tue Apr  1 12:56:46 2025",0
"Wed Apr  2 02:03:43 2025",0
"Wed Apr  2 12:55:38 2025",0
"Thu Apr  3 02:02:19 2025",0
"Thu Apr  3 12:56:46 2025",0
"Fri Apr  4 02:02:32 2025",0
"Fri Apr  4 12:54:23 2025",0
"Sat Apr  5 02:00:23 2025",0
"Sat Apr  5 12:49:26 2025",0
"Sun Apr  6 02:09:24 2025",0
"Sun Apr  6 12:49:36 2025",0
"Mon Apr  7 02:05:53 2025",0
"Mon Apr  7 12:56:12 2025",0
"Tue Apr  8 02:04:26 2025",0
"Tue Apr  8 12:57:26 2025",0
"Wed Apr  9 02:03:01 2025",0
"Wed Apr  9 12:55:54 2025",0
"Thu Apr 10 02:03:20 2025",0
"Thu Apr 10 12:56:08 2025",0
"Fri Apr 11 02:03:59 2025",0
"Fri Apr 11 12:54:34 2025",0
"Sat Apr 12 02:01:50 2025",0
"Sat Apr 12 12:50:39 2025",0
"Sun Apr 13 03:30:43 2025",0
"Sun Apr 13 12:51:36 2025",0
"Mon Apr 14 02:08:30 2025",0
"Mon Apr 14 12:56:59 2025",0
"Tue Apr 15 02:07:08 2025",0
"Tue Apr 15 12:57:00 2025",0
"Wed Apr 16 02:06:12 2025",0
"Wed Apr 16 12:57:28 2025",6
"Thu Apr 17 02:04:52 2025",0
"Thu Apr 17 12:55:38 2025",0
"Fri Apr 18 02:02:10 2025",0
"Fri Apr 18 12:53:14 2025",0
"Sat Apr 19 01:59:41 2025",0
"Sat Apr 19 12:51:14 2025",0
"Sun Apr 20 02:16:31 2025",0
"Sun Apr 20 12:50:05 2025",0
"Mon Apr 21 02:16:57 2025",0
"Mon Apr 21 12:54:21 2025",0
"Tue Apr 22 02:05:29 2025",0
"Tue Apr 22 12:55:23 2025",0
"Wed Apr 23 02:06:06 2025",0
"Wed Apr 23 13:00:30 2025",0
"Thu Apr 24 02:06:28 2025",0
"Thu Apr 24 12:58:25 2025",0
"Fri Apr 25 02:06:51 2025",0
"Fri Apr 25 12:56:18 2025",0
"Sat Apr 26 02:02:16 2025",0
"Sat Apr 26 12:50:32 2025",0
"Sun Apr 27 02:17:14 2025",0
"Sun Apr 27 12:50:54 2025",0
"Mon Apr 28 02:15:11 2025",0
"Mon Apr 28 13:08:45 2025",0
"Tue Apr 29 02:07:45 2025",0
"Wed Apr 30 02:07:03 2025",0
"Wed Apr 30 12:56:36 2025",0
"Thu May  1 02:21:59 2025",0
"Thu May  1 12:54:33 2025",0
"Fri May  2 02:08:01 2025",0
"Fri May  2 12:56:14 2025",0
"Sat May  3 02:05:04 2025",0
"Sat May  3 12:51:51 2025",0
"Sun May  4 02:22:59 2025",0
"Sun May  4 12:53:42 2025",0
"Mon May  5 02:17:37 2025",0
"Mon May  5 12:57:11 2025",0
"Tue May  6 02:10:32 2025",0
"Tue May  6 12:59:58 2025",0
"Wed May  7 02:14:46 2025",0
"Wed May  7 12:59:37 2025",0
"Thu May  8 02:16:16 2025",0
"Thu May  8 12:57:41 2025",0
"Fri May  9 02:14:31 2025",0
"Fri May  9 12:55:53 2025",0
"Sat May 10 02:04:18 2025",0
"Sat May 10 12:53:21 2025",0
"Sun May 11 02:21:11 2025",0
"Sun May 11 12:53:02 2025",0
"Mon May 12 02:18:43 2025",0
"Mon May 12 13:00:15 2025",0
"Tue May 13 02:17:24 2025",0
"Tue May 13 13:11:19 2025",0
"Wed May 14 02:15:09 2025",4
"Wed May 14 12:59:47 2025",0
"Thu May 15 02:09:39 2025",0
"Thu May 15 12:58:44 2025",0
"Fri May 16 02:16:54 2025",0
"Fri May 16 12:57:41 2025",0
"Sat May 17 02:07:29 2025",0
"Sat May 17 12:53:38 2025",0
"Sun May 18 02:22:44 2025",0
"Sun May 18 12:54:32 2025",0
"Mon May 19 02:21:52 2025",0
"Mon May 19 13:00:14 2025",0
"Tue May 20 02:17:23 2025",0
"Tue May 20 13:00:37 2025",0
"Wed May 21 02:16:42 2025",0
"Wed May 21 12:59:17 2025",0
"Thu May 22 02:17:10 2025",0
"Thu May 22 13:01:48 2025",0
"Fri May 23 02:15:49 2025",0
"Fri May 23 13:01:26 2025",0
"Sat May 24 02:06:08 2025",0
"Sat May 24 12:53:24 2025",0
"Sun May 25 02:26:14 2025",0
"Sun May 25 12:54:52 2025",0
"Mon May 26 02:21:40 2025",0
"Mon May 26 13:00:29 2025",0
"Tue May 27 02:18:48 2025",0
"Tue May 27 12:59:40 2025",0
"Wed May 28 02:17:39 2025",0
"Wed May 28 13:01:53 2025",0
"Thu May 29 02:18:06 2025",0
"Thu May 29 12:57:58 2025",0
"Fri May 30 02:14:56 2025",0
"Fri May 30 12:59:17 2025",0
"Sat May 31 02:11:20 2025",0
"Sat May 31 12:54:46 2025",0
"Sun Jun  1 02:37:18 2025",0
"Sun Jun  1 12:54:32 2025",0
"Mon Jun  2 02:22:43 2025",0
"Mon Jun  2 12:59:46 2025",4
"Tue Jun  3 02:19:24 2025",0
"Tue Jun  3 13:01:02 2025",0
"Wed Jun  4 02:19:37 2025",0
"Wed Jun  4 13:02:28 2025",0
"Thu Jun  5 02:18:01 2025",0
"Thu Jun  5 12:59:40 2025",0
"Fri Jun  6 02:19:13 2025",0
"Fri Jun  6 12:57:47 2025",0
"Sat Jun  7 02:16:51 2025",0
"Sat Jun  7 12:54:51 2025",0
"Sun Jun  8 02:28:32 2025",0
"Sun Jun  8 12:53:55 2025",0
"Mon Jun  9 02:25:01 2025",0
"Mon Jun  9 12:59:56 2025",3
"Tue Jun 10 02:20:51 2025",0
"Tue Jun 10 13:00:39 2025",0
"Wed Jun 11 02:19:57 2025",0
"Wed Jun 11 13:01:27 2025",0
"Thu Jun 12 02:19:08 2025",0
"Thu Jun 12 12:59:41 2025",0
"Fri Jun 13 02:20:06 2025",0
"Fri Jun 13 12:58:58 2025",0
"Sat Jun 14 02:15:44 2025",0
"Sat Jun 14 12:55:42 2025",0
"Sun Jun 15 02:29:59 2025",0
"Sun Jun 15 12:55:02 2025",0
"Mon Jun 16 02:24:13 2025",0
"Mon Jun 16 13:01:22 2025",0
"Tue Jun 17 02:20:55 2025",0
"Tue Jun 17 13:02:48 2025",2
"Wed Jun 18 02:19:42 2025",0
"Wed Jun 18 13:00:51 2025",0
"Thu Jun 19 02:20:51 2025",0
"Thu Jun 19 13:00:09 2025",0
"Fri Jun 20 02:19:41 2025",0
"Fri Jun 20 12:59:18 2025",0
"Sat Jun 21 02:18:06 2025",3
"Sat Jun 21 12:54:30 2025",0
"Sun Jun 22 02:29:44 2025",0
"Sun Jun 22 12:54:20 2025",0
"Mon Jun 23 02:29:09 2025",0
"Mon Jun 23 13:01:33 2025",0
"Tue Jun 24 02:21:37 2025",0
"Tue Jun 24 13:01:19 2025",0
"Wed Jun 25 02:21:52 2025",0
"Wed Jun 25 13:01:46 2025",0
"Thu Jun 26 02:21:15 2025",0
"Thu Jun 26 13:01:02 2025",0
"Fri Jun 27 02:22:04 2025",3
"Fri Jun 27 12:59:19 2025",0
"Sat Jun 28 02:18:13 2025",0
"Sat Jun 28 12:54:58 2025",0
"Sun Jun 29 02:32:36 2025",0
"Sun Jun 29 12:56:30 2025",0
"Mon Jun 30 02:27:20 2025",0
"Mon Jun 30 13:02:02 2025",0
"Tue Jul  1 02:34:24 2025",0
"Tue Jul  1 13:01:41 2025",0
"Wed Jul  2 02:22:07 2025",0
"Wed Jul  2 13:02:29 2025",0
"Thu Jul  3 02:21:53 2025",0
"Thu Jul  3 12:59:10 2025",0
"Fri Jul  4 02:21:40 2025",0
"Fri Jul  4 12:59:54 2025",0
"Sat Jul  5 02:16:58 2025",0
"Sat Jul  5 12:55:26 2025",0
"Sun Jul  6 02:31:58 2025",0
"Sun Jul  6 12:56:52 2025",0
"Mon Jul  7 02:27:37 2025",0
"Mon Jul  7 13:01:41 2025",0
"Tue Jul  8 02:22:29 2025",0
"Tue Jul  8 13:01:12 2025",0
"Wed Jul  9 02:23:52 2025",0
"Wed Jul  9 13:01:29 2025",0
"Thu Jul 10 02:25:01 2025",4
"Thu Jul 10 13:03:16 2025",0
"Fri Jul 11 02:27:11 2025",0
"Fri Jul 11 13:01:34 2025",0
"Sat Jul 12 02:28:24 2025",0
"Sat Jul 12 12:57:12 2025",0
"Sun Jul 13 02:37:16 2025",0
"Sun Jul 13 12:57:01 2025",0
"Mon Jul 14 02:32:25 2025",0
"Mon Jul 14 13:04:06 2025",0
"Tue Jul 15 02:30:46 2025",0
"Tue Jul 15 13:03:24 2025",0
"Wed Jul 16 02:28:27 2025",0
"Wed Jul 16 13:04:01 2025",0
"Thu Jul 17 02:29:15 2025",0
"Thu Jul 17 13:04:54 2025",0
"Fri Jul 18 02:31:11 2025",0
"Fri Jul 18 13:04:53 2025",0
"Sat Jul 19 02:23:17 2025",0
"Sat Jul 19 12:58:40 2025",0
"Sun Jul 20 02:42:09 2025",0
"Sun Jul 20 12:59:40 2025",0
"Mon Jul 21 02:36:29 2025",0
"Mon Jul 21 13:06:04 2025",0
"Tue Jul 22 02:30:25 2025",0
"Tue Jul 22 13:04:48 2025",0
"Wed Jul 23 02:31:29 2025",0
"Wed Jul 23 13:05:17 2025",0
"Thu Jul 24 02:29:55 2025",0
"Thu Jul 24 13:04:46 2025",0
"Fri Jul 25 02:30:11 2025",0
"Fri Jul 25 13:04:17 2025",0
"Sat Jul 26 02:25:18 2025",0
"Sat Jul 26 12:59:02 2025",0
"Sun Jul 27 02:40:34 2025",0
"Sun Jul 27 12:59:56 2025",0
"Mon Jul 28 02:36:38 2025",0
"Mon Jul 28 13:05:52 2025",0
"Tue Jul 29 02:41:43 2025",0
"Tue Jul 29 13:07:31 2025",0
"Wed Jul 30 02:33:00 2025",0
"Wed Jul 30 13:06:20 2025",0
"Thu Jul 31 02:33:09 2025",0
"Thu Jul 31 13:04:30 2025",0
"Fri Aug  1 02:44:20 2025",0
"Fri Aug  1 13:06:09 2025",0
"Sat Aug  2 02:26:04 2025",0
"Sat Aug  2 12:59:48 2025",0
"Sun Aug  3 02:42:55 2025",0
"Sun Aug  3 13:02:55 2025",0
"Mon Aug  4 02:42:21 2025",0
"Mon Aug  4 13:08:07 2025",0
"Tue Aug  5 02:36:42 2025",0
"Tue Aug  5 13:09:16 2025",0
"Wed Aug  6 02:33:39 2025",0
"Wed Aug  6 13:08:58 2025",0
"Thu Aug  7 02:34:18 2025",0
"Thu Aug  7 13:07:17 2025",0
"Fri Aug  8 02:33:30 2025",0
"Fri Aug  8 13:06:08 2025",0
"Sat Aug  9 02:21:01 2025",0
"Sat Aug  9 12:58:18 2025",0
"Sun Aug 10 02:37:47 2025",0
"Sun Aug 10 12:58:46 2025",0
"Mon Aug 11 02:34:11 2025",0
"Mon Aug 11 13:05:48 2025",0
"Tue Aug 12 02:21:22 2025",0
"Tue Aug 12 13:02:54 2025",0
"Wed Aug 13 02:22:10 2025",0
"Wed Aug 13 13:02:50 2025",2
"Thu Aug 14 02:24:06 2025",0
"Thu Aug 14 13:03:31 2025",0
"Fri Aug 15 02:24:14 2025",0
"Fri Aug 15 12:59:30 2025",0
"Sat Aug 16 02:18:32 2025",0
"Sat Aug 16 12:56:42 2025",0
"Sun Aug 17 02:29:23 2025",0
"Sun Aug 17 12:57:48 2025",0
"Mon Aug 18 02:30:30 2025",0
"Mon Aug 18 13:04:32 2025",0
"Tue Aug 19 02:16:03 2025",0
"Tue Aug 19 12:57:15 2025",0
"Wed Aug 20 02:08:36 2025",0
"Wed Aug 20 13:00:21 2025",0
"Thu Aug 21 02:06:57 2025",3
"Thu Aug 21 12:59:22 2025",0
"Fri Aug 22 02:07:40 2025",0
"Fri Aug 22 12:57:20 2025",0
"Sat Aug 23 02:03:34 2025",0
"Sat Aug 23 12:54:07 2025",0
"Sun Aug 24 02:24:46 2025",0
"Sun Aug 24 12:54:53 2025",0
"Mon Aug 25 02:18:57 2025",0
"Mon Aug 25 13:00:28 2025",0
"Tue Aug 26 02:09:25 2025",0
"Tue Aug 26 13:01:45 2025",0
"Wed Aug 27 02:04:12 2025",0
"Wed Aug 27 12:59:41 2025",0
"Thu Aug 28 02:04:37 2025",0
"Thu Aug 28 12:57:27 2025",0
"Fri Aug 29 02:04:21 2025",0
"Fri Aug 29 12:55:48 2025",0
"Sat Aug 30 01:58:07 2025",0
"Sat Aug 30 12:52:28 2025",0
"Sun Aug 31 02:14:13 2025",0
"Sun Aug 31 12:53:08 2025",0
"Mon Sep  1 02:26:59 2025",0
"Mon Sep  1 12:59:15 2025",0
"Tue Sep  2 02:06:39 2025",0
"Tue Sep  2 12:58:14 2025",0
"Wed Sep  3 01:58:15 2025",0
"Wed Sep  3 12:57:48 2025",0
"Thu Sep  4 01:58:35 2025",3
"Thu Sep  4 12:54:37 2025",0
"Fri Sep  5 02:01:09 2025",0
"Fri Sep  5 12:55:25 2025",0
"Sat Sep  6 01:59:12 2025",0
"Sat Sep  6 12:51:02 2025",0
"Sun Sep  7 02:07:13 2025",0
"Sun Sep  7 12:52:40 2025",0
"Mon Sep  8 02:06:49 2025",0
"Mon Sep  8 12:59:46 2025",0
"Tue Sep  9 02:03:01 2025",0
"Tue Sep  9 13:00:16 2025",0
"Wed Sep 10 01:58:45 2025",0
"Wed Sep 10 12:57:13 2025",0
"Thu Sep 11 02:02:35 2025",4
"Thu Sep 11 12:55:22 2025",0
"Fri Sep 12 01:58:45 2025",0
"Fri Sep 12 12:55:32 2025",0
"Sat Sep 13 01:54:48 2025",0
"Sat Sep 13 12:51:31 2025",0
"Sun Sep 14 02:06:10 2025",0
"Sun Sep 14 12:51:41 2025",0
"Mon Sep 15 02:07:47 2025",0
"Mon Sep 15 12:58:35 2025",0
